,text_encoding_tsne_1,text_encoding_tsne_2
236,-7.5170274,-0.07667559
237,-7.5170274,-0.07667559
238,-7.5170274,-0.07667559
239,-7.5170274,-0.07667559
240,-7.5170274,-0.07667559
241,55.428135,-5.785438
242,49.71762,-6.789065
243,-7.5170274,-0.07667559
244,56.22488,1.0387639
245,-7.5170274,-0.07667559
246,-7.5170274,-0.07667559
247,50.200092,11.01473
248,-7.5170274,-0.07667559
249,-7.5170274,-0.07667559
250,-7.5170274,-0.07667559
251,54.292885,0.031266138
252,61.97887,-13.238589
253,-7.5170274,-0.07667559
254,51.765522,7.1399345
255,-7.5170274,-0.07667559
256,-7.5170274,-0.07667559
257,-7.5170274,-0.07667559
258,-7.5170274,-0.07667559
259,54.193844,11.200487
260,55.619312,9.928144
261,59.54629,-3.7630453
262,-7.5170274,-0.07667559
263,62.826687,11.218358
264,-7.5170274,-0.07667559
265,-7.5170274,-0.07667559
266,53.074013,-6.851898
267,51.738155,2.2222946
268,-7.5170274,-0.07667559
269,63.963184,3.3568053
270,62.84721,-5.8533773
271,56.508938,0.7987151
272,51.6398,11.282055
273,60.84923,-10.62905
274,-7.5170274,-0.07667559
275,-7.5170274,-0.07667559
276,-7.5170274,-0.07667559
277,-7.5170274,-0.07667559
278,-7.5170274,-0.07667559
279,-7.5170274,-0.07667559
280,-7.5170274,-0.07667559
281,-7.5170274,-0.07667559
282,-7.5170274,-0.07667559
283,-7.5170274,-0.07667559
284,48.32425,-3.2790568
285,-7.5170274,-0.07667559
286,-7.5170274,-0.07667559
287,-7.5170274,-0.07667559
288,-7.5170274,-0.07667559
289,-7.5170274,-0.07667559
290,54.25171,-9.542811
291,-7.5170274,-0.07667559
292,-7.5170274,-0.07667559
293,-7.5170274,-0.07667559
294,-7.5170274,-0.07667559
295,-7.5170274,-0.07667559
296,51.763737,-1.4515492
297,-7.5170274,-0.07667559
298,-7.5170274,-0.07667559
299,-7.5170274,-0.07667559
300,-7.5170274,-0.07667559
301,-7.5170274,-0.07667559
302,51.829716,-9.127691
303,63.296925,2.7165575
304,-7.5170274,-0.07667559
305,53.662224,4.669718
306,-7.5170274,-0.07667559
307,-7.5170274,-0.07667559
308,-7.5170274,-0.07667559
309,-7.5170274,-0.07667559
310,-7.5170274,-0.07667559
311,-7.5170274,-0.07667559
312,-7.5170274,-0.07667559
313,-7.5170274,-0.07667559
314,-7.5170274,-0.07667559
315,-7.5170274,-0.07667559
316,61.27452,0.033249926
