tsne_1,tnse_2
18.06952,-9.636547
-19.422829,34.185207
-26.214882,36.894676
26.329605,22.479286
23.070452,16.857855
-53.080284,-16.144875
36.573467,-33.041462
25.486664,-8.54437
44.55764,23.647179
-30.9188,-21.24596
20.33036,-17.17199
10.712717,34.098522
19.177029,-2.725016
-5.038057,-50.130527
12.845954,29.366064
-45.24279,-33.514103
-32.25132,-43.820972
-24.152948,2.634928
-63.938572,-0.76415807
34.424076,49.138454
32.238094,-28.885756
50.224033,-1.728084
-36.244526,-39.09512
-63.852287,-7.186549
8.147193,23.69778
-24.945257,34.635544
28.60309,1.4333403
-51.38123,-22.47379
-54.63901,-8.284519
43.05215,7.3493524
-13.5008955,-10.087753
-69.7551,-1.6552843
33.187767,6.996229
-32.24961,-3.3798015
-9.280347,21.39326
37.77897,54.24513
34.038914,-32.26745
-40.38494,-37.507652
9.413473,13.060974
9.697187,18.443024
-22.530167,-28.502777
57.28668,2.8346598
-58.40509,-25.625523
14.37428,-11.908719
14.37428,-11.908719
7.813803,25.332674
51.811356,3.7050865
-38.181465,-4.645897
-55.040302,-4.485588
-9.861989,16.525755
-8.611841,-3.5251174
-11.652084,1.3876274
-67.04514,-14.538488
-16.228106,32.63821
-14.871061,42.305397
5.245613,-56.875607
40.860054,42.58149
29.670885,26.38219
46.042717,-17.07879
-5.6830387,0.44982958
2.7257082,-2.4866307
17.16685,-29.244917
7.2943845,52.01263
7.823312,33.06183
-40.464806,-29.746143
-68.459785,-12.420447
-6.0241847,61.619774
-6.538439,43.118908
14.749701,-21.626173
21.932653,0.80385625
-32.890686,-18.081167
-40.170692,-8.042063
29.486565,6.7009425
25.270252,-20.446869
38.29976,-28.750393
-24.789783,-42.6576
-3.7431488,-43.06328
-15.356692,38.584343
-51.678978,-9.704492
-31.621613,-30.021688
14.418386,3.3666372
-28.902319,-29.54752
42.547157,20.298862
7.19061,16.423542
19.095726,17.852736
-7.247525,63.064358
-44.54762,-23.340717
-67.00284,2.7377055
25.795076,-36.386795
-15.78291,-23.241243
-48.31177,-17.595251
29.674685,26.382107
-34.478706,9.237224
20.626863,3.7386003
29.68079,26.392159
5.954811,-1.2672902
39.814148,36.840927
-39.099022,-0.1089735
-13.230548,-16.748837
-67.71894,-0.35893664
12.387015,-29.822454
7.3125186,30.110432
-19.443186,-21.395042
33.7146,5.9730287
-49.739117,15.354292
15.455074,13.6089735
3.9505646,-40.11522
-4.0750775,-47.42655
-18.858727,-43.11921
-18.858578,-43.11909
39.445873,47.00527
-41.04437,-40.221012
-14.083825,11.942016
-18.560493,13.545781
32.776375,-30.866997
-44.106743,-12.076577
-44.106747,-12.076435
-44.106873,-12.076547
-29.049334,21.54322
-3.6680155,-31.247532
-49.739117,15.354292
-44.106827,-12.076596
-44.10685,-12.076616
-44.106873,-12.076612
-44.106827,-12.076596
-49.528336,15.576577
-49.526333,15.521749
-49.45745,15.816604
-4.4265394,14.5093155
33.396126,-25.426058
-49.45554,15.851746
7.088716,-4.2516556
47.654087,9.93721
-15.154598,-9.095244
51.02902,-0.89014286
42.786835,6.2999725
-22.897938,-29.676527
19.661623,-26.946543
36.39692,3.465568
27.947908,27.785164
45.07676,0.66859514
-44.804493,-25.297132
39.60178,57.127525
22.504265,-36.207092
35.58145,-35.944534
32.488853,-24.56407
-23.544235,45.22832
17.016047,41.454754
24.46839,-7.345722
37.443077,31.417797
-29.726065,-34.50741
35.615032,-11.513647
-36.089672,6.671277
10.650379,-28.22127
5.2036004,-40.681282
40.469604,46.881096
-70.9332,-13.720033
-1.9887453,-24.041237
5.863332,-60.391808
-27.405304,16.9925
-11.811132,-54.037445
8.437568,-36.575924
-8.3379755,16.371475
-29.10142,34.591995
53.990273,-36.7799
45.641884,-16.7604
-32.12832,22.55559
27.670855,7.8791122
-15.745392,-31.533705
-2.2513483,13.169734
34.23178,-5.558827
5.140233,20.999187
-31.908585,22.183258
-20.123474,39.794804
-24.122055,2.5278258
6.9244013,18.74555
51.177383,0.9685637
38.784027,48.887672
-5.492733,-35.30226
30.37436,-30.938452
14.034265,-9.9204235
10.574275,-62.07429
27.55657,4.9300494
-62.08929,-1.581991
37.96535,-13.422901
-43.379272,-24.14625
-39.371048,5.7943044
20.575645,-3.9125922
20.80908,-19.703049
1.9929074,29.448744
14.176437,23.594545
5.029687,-27.768007
-19.490585,-36.429817
1.6525631,22.823395
60.99693,6.963624
0.5252959,59.460682
-24.86981,-17.278423
17.700014,-23.551516
-10.965942,27.736984
50.630993,1.9373028
-4.827277,-12.613806
28.697363,25.122108
-23.80777,35.792942
-9.594684,52.911037
22.36173,25.009636
35.296284,57.810226
50.450005,2.0874805
-57.03338,-3.7438426
26.295713,-4.352747
-26.130322,33.62344
-46.69592,-20.768103
26.45703,-11.692973
11.144357,-27.438902
-68.44539,4.8009768
40.46492,-2.6840312
-5.6158977,62.79694
2.2404158,31.888308
-36.29829,-35.759876
